,location,size,total_sqft,bath,price,bhk,price_per_sqft
0,Electronic City Phase II,2 BHK,1056,2,39.07,2,3699.810606
1,Chikka Tirupathi,4 Bedroom,2600,5,120,4,4615.384615
2,Uttarahalli,3 BHK,1440,2,62,3,4305.555556
3,Lingadheeranahalli,3 BHK,1521,3,95,3,6245.890861
4,Kothanur,2 BHK,1200,2,51,2,4250
5,Whitefield,2 BHK,1170,2,38,2,3247.863248
6,Old Airport Road,4 BHK,2732,4,204,4,7467.057101
7,Rajaji Nagar,4 BHK,3300,4,600,4,18181.81818
8,Marathahalli,3 BHK,1310,3,63.25,3,4828.244275
9,other,6 Bedroom,1020,6,370,6,36274.5098
10,Whitefield,3 BHK,1800,2,70,3,3888.888889
11,Whitefield,4 Bedroom,2785,5,295,4,10592.45961
12,7th Phase JP Nagar,2 BHK,1000,2,38,2,3800
13,Gottigere,2 BHK,1100,2,40,2,3636.363636
14,Sarjapur,3 Bedroom,2250,3,148,3,6577.777778
15,Mysore Road,2 BHK,1175,2,73.5,2,6255.319149
16,Bisuvanahalli,3 BHK,1180,3,48,3,4067.79661
17,Raja Rajeshwari Nagar,3 BHK,1540,3,60,3,3896.103896
18,other,3 BHK,2770,4,290,3,10469.31408
19,other,2 BHK,1100,2,48,2,4363.636364
20,Kengeri,1 BHK,600,1,15,1,2500
21,Binny Pete,3 BHK,1755,3,122,3,6951.566952
22,Thanisandra,4 Bedroom,2800,5,380,4,13571.42857
23,Bellandur,3 BHK,1767,3,103,3,5829.088851
24,Thanisandra,1 RK,510,1,25.25,1,4950.980392
25,other,3 BHK,1250,3,56,3,4480
26,Electronic City,2 BHK,660,1,23.1,2,3500
27,Whitefield,3 BHK,1610,3,81,3,5031.055901
28,Ramagondanahalli,2 BHK,1151,2,48.77,2,4237.185056
29,Electronic City,3 BHK,1025,2,47,3,4585.365854
30,Yelahanka,4 BHK,2475,4,186,4,7515.151515
31,Bisuvanahalli,3 BHK,1075,2,35,3,3255.813953
32,Hebbal,3 BHK,1760,2,123,3,6988.636364
33,Raja Rajeshwari Nagar,3 BHK,1693,3,57.39,3,3389.84052
34,Kasturi Nagar,3 BHK,1925,3,125,3,6493.506494
35,Kanakpura Road,2 BHK,700,2,36,2,5142.857143
36,Electronics City Phase 1,2 BHK,1070,2,45.5,2,4252.336449
37,Kundalahalli,3 BHK,1724,3,125,3,7250.580046
38,Chikkalasandra,3 BHK,1290,2,56.12,3,4350.387597
39,Uttarahalli,2 BHK,1143,2,45,2,3937.007874
40,Murugeshpalya,2 BHK,1296,2,81,2,6250
41,Sarjapur  Road,3 BHK,1254,3,38,3,3030.30303
42,other,1 BHK,600,1,38,1,6333.333333
43,Yelahanka,1 Bedroom,660,1,48,1,7272.727273
44,Kanakpura Road,2 BHK,1330.74,2,91.79,2,6897.66596
45,HSR Layout,8 Bedroom,600,9,200,8,33333.33333
46,Doddathoguru,2 BHK,970,2,33,2,3402.061856
47,Whitefield,2 BHK,1459,2,94.82,2,6498.971899
48,KR Puram,2 Bedroom,800,1,130,2,16250
49,other,2 BHK,869,2,36,2,4142.69275
50,other,2 BHK,1270,2,50,2,3937.007874
51,Bhoganhalli,3 BHK,1670,3,99,3,5928.143713
52,Whitefield,3 BHK,2010,3,91,3,4527.363184
53,Lakshminarayana Pura,2 BHK,1185,2,75,2,6329.113924
54,Yelahanka,3 BHK,1600,2,75,3,4687.5
55,Begur Road,2 BHK,1200,2,44,2,3666.666667
56,other,2 BHK,1500,2,185,2,12333.33333
57,Murugeshpalya,6 Bedroom,1407,4,150,6,10660.98081
58,other,2 BHK,840,2,45,2,5357.142857
59,other,3 Bedroom,4395,3,240,3,5460.750853
60,other,2 BHK,845,2,55,2,6508.87574
61,Whitefield,4 Bedroom,5700,5,650,4,11403.50877
62,Varthur,2 BHK,1160,2,44,2,3793.103448
63,Bommanahalli,8 Bedroom,3000,8,140,8,4666.666667
64,Doddathoguru,2 BHK,1100,2,62,2,5636.363636
65,Gunjur,2 BHK,1140,2,43,2,3771.929825
66,Marathahalli,2 BHK,1220,2,57,2,4672.131148
67,Devarachikkanahalli,8 Bedroom,1350,7,85,8,6296.296296
68,Kanakpura Road,2 BHK,1005,2,36.68,2,3649.751244
69,other,3 Bedroom,500,3,100,3,20000
70,Begur Road,2 BHK,1358,2,80.58,2,5933.726068
71,Hegde Nagar,3 BHK,1569,3,101,3,6437.22116
72,Haralur Road,2 BHK,1240,2,70,2,5645.16129
73,Hennur Road,3 BHK,2089,3,140,3,6701.771182
74,Kothannur,2 BHK,1206,2,48.23,2,3999.170813
75,Kalena Agrahara,2 BHK,1150,2,40,2,3478.26087
76,other,3 BHK,2511,3,205,3,8164.078057
77,Kaval Byrasandra,2 BHK,460,1,22,2,4782.608696
78,ISRO Layout,6 Bedroom,4400,6,250,6,5681.818182
79,other,3 BHK,1660,2,105,3,6325.301205
80,Yelahanka,2 BHK,1326,2,78,2,5882.352941
81,Garudachar Palya,3 BHK,1325,2,60.8,3,4588.679245
82,EPIP Zone,3 BHK,1499,5,102,3,6804.536358
83,Hegde Nagar,6 Bedroom,3000,7,210,6,7000
84,Kanakpura Road,3 BHK,1665,3,88,3,5285.285285
85,Dasanapura,2 BHK,708,2,37,2,5225.988701
86,Kasavanhalli,2 BHK,1060,2,58.06,2,5477.358491
87,Rajaji Nagar,6 Bedroom,710,6,160,6,22535.21127
88,Sanjay nagar,2 BHK,1000,2,70,2,7000
89,Electronic City,2 BHK,1000,2,28.88,2,2888
90,other,3 BHK,1450,2,70,3,4827.586207
91,ISRO Layout,4 Bedroom,1200,4,155,4,12916.66667
92,Thanisandra,2 BHK,1296,2,80,2,6172.839506
93,Domlur,3 BHK,1540,3,90,3,5844.155844
94,Kengeri,4 Bedroom,2894,4,245,4,8465.791292
95,Sarjapura - Attibele Road,3 BHK,1330,2,48,3,3609.022556
96,other,2 BHK,1200,2,65,2,5416.666667
97,other,3 Bedroom,1200,3,90,3,7500
98,Yeshwanthpur,3 BHK,2502,3,138,3,5515.58753
99,Chandapura,2 BHK,650,1,17,2,2615.384615
100,Kothanur,3 Bedroom,2400,2,150,3,6250
101,other,2 BHK,1007,2,43,2,4270.109235
102,other,2 BHK,1200,2,50,2,4166.666667
103,other,2 BHK,966,2,49.9,2,5165.63147
104,Nagarbhavi,3 BHK,1630,2,98,3,6012.269939
105,Rajaji Nagar,3 BHK,1640,3,229,3,13963.41463
106,other,2 BHK,782,2,55.68,2,7120.204604
107,Devanahalli,2 BHK,1260,2,66.78,2,5300
108,other,3 BHK,1800,3,120,3,6666.666667
109,other,3 BHK,1413,2,75,3,5307.855626
110,Whitefield,2 BHK,1116,2,51.91,2,4651.433692
111,Electronic City,3 BHK,1530,2,45.9,3,3000
112,Ramamurthy Nagar,4 Bedroom,3700,4,225,4,6081.081081
113,Sarjapur  Road,3 Bedroom,2497,3,140,3,5606.728074
114,Kengeri,3 BHK,1540,2,64,3,4155.844156
115,Thanisandra,3 BHK,1436,3,74.75,3,5205.431755
116,Malleshwaram,2 BHK,1100,2,75,2,6818.181818
117,Hennur Road,2 Bedroom,276,3,23,2,8333.333333
118,Thanisandra,3 BHK,1427,3,120,3,8409.250175
119,Akshaya Nagar,3 BHK,2061,3,200,3,9704.027171
