,location,size,total_sqft,bath,price,bhk,price_per_sqft
0,1st Block Jayanagar,4 BHK,2850.0,4,428.0,4,15017.54386
1,1st Block Jayanagar,3 BHK,1630.0,3,194.0,3,11901.84049
2,1st Block Jayanagar,3 BHK,1875.0,2,235.0,3,12533.33333
3,1st Block Jayanagar,3 BHK,1200.0,2,130.0,3,10833.33333
4,1st Block Jayanagar,2 BHK,1235.0,2,148.0,2,11983.80567
5,1st Block Jayanagar,4 BHK,2750.0,4,413.0,4,15018.18182
6,1st Block Jayanagar,4 BHK,2450.0,4,368.0,4,15020.40816
8,1st Phase JP Nagar,3 BHK,1875.0,3,167.0,3,8906.666667
9,1st Phase JP Nagar,5 Bedroom,1500.0,5,85.0,5,5666.666667
10,1st Phase JP Nagar,3 BHK,2065.0,4,210.0,3,10169.49153
12,1st Phase JP Nagar,3 BHK,2059.0,3,225.0,3,10927.63477
13,1st Phase JP Nagar,2 BHK,1394.0,2,100.0,2,7173.601148
14,1st Phase JP Nagar,2 BHK,1077.0,2,93.0,2,8635.097493
15,1st Phase JP Nagar,2 Bedroom,1566.0,2,180.0,2,11494.25287
16,1st Phase JP Nagar,1 BHK,840.0,2,50.0,1,5952.380952
17,1st Phase JP Nagar,3 BHK,1590.0,3,131.0,3,8238.993711
18,1st Phase JP Nagar,3 BHK,2180.0,3,210.0,3,9633.027523
19,1st Phase JP Nagar,2 BHK,1180.0,2,88.5,2,7500.0
20,1st Phase JP Nagar,2 BHK,1200.0,2,86.0,2,7166.666667
21,1st Phase JP Nagar,2 BHK,1394.0,2,85.0,2,6097.560976
22,1st Phase JP Nagar,3 BHK,2077.0,3,175.0,3,8425.613866
24,1st Phase JP Nagar,2 BHK,1205.0,2,85.0,2,7053.941909
26,1st Phase JP Nagar,2 BHK,900.0,2,75.0,2,8333.333333
27,2nd Phase Judicial Layout,3 BHK,1450.0,2,50.75,3,3500.0
28,2nd Phase Judicial Layout,2 BHK,1150.0,2,40.25,2,3500.0
29,2nd Phase Judicial Layout,3 BHK,1350.0,2,47.25,3,3500.0
30,2nd Phase Judicial Layout,3 BHK,1350.0,2,47.25,3,3500.0
31,2nd Phase Judicial Layout,2 BHK,900.0,2,41.0,2,4555.555556
32,2nd Phase Judicial Layout,3 BHK,1681.0,3,69.0,3,4104.699584
33,2nd Phase Judicial Layout,3 BHK,1350.0,2,47.25,3,3500.0
34,2nd Phase Judicial Layout,2 BHK,1150.0,2,40.25,2,3500.0
35,2nd Stage Nagarbhavi,4 Bedroom,1500.0,4,220.0,4,14666.66667
38,2nd Stage Nagarbhavi,4 Bedroom,1350.0,4,200.0,4,14814.81481
39,2nd Stage Nagarbhavi,4 Bedroom,1200.0,4,225.0,4,18750.0
40,2nd Stage Nagarbhavi,4 Bedroom,1500.0,3,230.0,4,15333.33333
41,5th Block Hbr Layout,2 BHK,1206.0,2,56.0,2,4643.44942
42,5th Block Hbr Layout,3 BHK,1270.0,2,70.0,3,5511.811024
43,5th Block Hbr Layout,2 BHK,1312.0,2,69.0,2,5259.146341
44,5th Block Hbr Layout,2 BHK,1100.0,2,48.0,2,4363.636364
45,5th Block Hbr Layout,5 Bedroom,3600.0,5,130.0,5,3611.111111
46,5th Block Hbr Layout,6 BHK,5100.0,5,300.0,6,5882.352941
47,5th Phase JP Nagar,2 BHK,1075.0,2,60.0,2,5581.395349
48,5th Phase JP Nagar,2 BHK,1150.0,3,52.5,2,4565.217391
49,5th Phase JP Nagar,2 BHK,1256.0,2,62.8,2,5000.0
50,5th Phase JP Nagar,2 BHK,1207.0,2,63.0,2,5219.55261
51,5th Phase JP Nagar,3 BHK,1725.0,2,100.0,3,5797.101449
52,5th Phase JP Nagar,2 BHK,1440.0,2,60.0,2,4166.666667
53,5th Phase JP Nagar,3 BHK,1700.0,2,100.0,3,5882.352941
55,5th Phase JP Nagar,5 BHK,2500.0,5,110.0,5,4400.0
56,5th Phase JP Nagar,1 BHK,600.0,1,30.0,1,5000.0
57,5th Phase JP Nagar,2 BHK,1390.0,2,65.0,2,4676.258993
58,5th Phase JP Nagar,2 BHK,1256.0,2,62.8,2,5000.0
59,5th Phase JP Nagar,2 BHK,1000.0,2,48.0,2,4800.0
60,5th Phase JP Nagar,3 BHK,1350.0,2,75.0,3,5555.555556
61,5th Phase JP Nagar,1 BHK,552.0,1,23.5,1,4257.246377
62,5th Phase JP Nagar,2 BHK,1200.0,2,51.0,2,4250.0
66,5th Phase JP Nagar,2 BHK,1030.0,2,57.0,2,5533.980583
67,5th Phase JP Nagar,2 BHK,1200.0,2,68.0,2,5666.666667
68,5th Phase JP Nagar,2 BHK,1190.0,2,61.8,2,5193.277311
69,5th Phase JP Nagar,5 BHK,4000.0,5,170.0,5,4250.0
70,5th Phase JP Nagar,2 BHK,1080.0,2,53.0,2,4907.407407
71,5th Phase JP Nagar,2 BHK,1041.0,2,54.0,2,5187.319885
72,5th Phase JP Nagar,2 BHK,812.0,2,42.0,2,5172.413793
73,5th Phase JP Nagar,2 BHK,1010.0,2,57.0,2,5643.564356
75,5th Phase JP Nagar,2 BHK,1075.0,2,60.0,2,5581.395349
76,6th Phase JP Nagar,2 BHK,1192.0,2,74.0,2,6208.053691
77,6th Phase JP Nagar,2 BHK,1180.0,2,80.0,2,6779.661017
78,6th Phase JP Nagar,4 BHK,3245.0,4,250.0,4,7704.160247
79,6th Phase JP Nagar,3 BHK,1645.0,3,100.0,3,6079.027356
80,6th Phase JP Nagar,2 BHK,1140.0,2,65.0,2,5701.754386
81,6th Phase JP Nagar,3 BHK,2040.0,3,200.0,3,9803.921569
82,6th Phase JP Nagar,2 BHK,1213.0,2,63.0,2,5193.734542
83,6th Phase JP Nagar,2 BHK,1216.0,2,60.0,2,4934.210526
84,6th Phase JP Nagar,2 BHK,1460.0,2,80.0,2,5479.452055
85,6th Phase JP Nagar,3 BHK,2003.0,3,200.0,3,9985.022466
86,6th Phase JP Nagar,3 BHK,1810.0,3,131.0,3,7237.569061
87,6th Phase JP Nagar,3 BHK,1515.0,2,135.0,3,8910.891089
88,6th Phase JP Nagar,2 BHK,1192.0,2,75.0,2,6291.946309
89,6th Phase JP Nagar,2 BHK,1280.0,2,88.0,2,6875.0
90,7th Phase JP Nagar,2 BHK,1080.0,2,72.0,2,6666.666667
91,7th Phase JP Nagar,2 BHK,1270.0,2,93.0,2,7322.834646
92,7th Phase JP Nagar,3 BHK,1420.0,2,100.0,3,7042.253521
93,7th Phase JP Nagar,3 BHK,1850.0,3,150.0,3,8108.108108
94,7th Phase JP Nagar,2 BHK,1245.0,2,94.0,2,7550.200803
95,7th Phase JP Nagar,2 BHK,1175.0,2,82.0,2,6978.723404
96,7th Phase JP Nagar,3 BHK,1400.0,2,95.0,3,6785.714286
97,7th Phase JP Nagar,3 BHK,2225.0,3,160.0,3,7191.011236
98,7th Phase JP Nagar,2 BHK,1050.0,2,71.0,2,6761.904762
99,7th Phase JP Nagar,2 BHK,1100.0,2,46.0,2,4181.818182
100,7th Phase JP Nagar,2 BHK,918.0,2,50.49,2,5500.0
101,7th Phase JP Nagar,3 BHK,1450.0,2,100.0,3,6896.551724
102,7th Phase JP Nagar,2 BHK,1190.0,2,49.98,2,4200.0
103,7th Phase JP Nagar,3 BHK,1420.0,2,96.0,3,6760.56338
104,7th Phase JP Nagar,3 BHK,1680.0,3,120.0,3,7142.857143
105,7th Phase JP Nagar,2 BHK,980.0,2,69.0,2,7040.816327
106,7th Phase JP Nagar,2 BHK,1180.0,2,72.0,2,6101.694915
110,7th Phase JP Nagar,3 BHK,1400.0,3,115.0,3,8214.285714
111,7th Phase JP Nagar,2 BHK,1270.0,2,83.0,2,6535.433071
113,7th Phase JP Nagar,4 BHK,2503.0,4,188.0,4,7510.986816
114,7th Phase JP Nagar,3 BHK,2200.0,3,190.0,3,8636.363636
117,7th Phase JP Nagar,3 BHK,1575.0,2,110.0,3,6984.126984
118,7th Phase JP Nagar,3 BHK,1850.0,3,140.0,3,7567.567568
119,7th Phase JP Nagar,3 BHK,1575.0,2,120.0,3,7619.047619
120,7th Phase JP Nagar,3 BHK,1850.0,3,150.0,3,8108.108108
121,7th Phase JP Nagar,3 BHK,1680.0,3,120.0,3,7142.857143
122,7th Phase JP Nagar,2 BHK,1175.0,2,82.5,2,7021.276596
125,7th Phase JP Nagar,2 BHK,1215.0,2,90.0,2,7407.407407
126,7th Phase JP Nagar,2 BHK,1050.0,2,75.0,2,7142.857143
127,7th Phase JP Nagar,3 BHK,1300.0,3,89.13,3,6856.153846
128,7th Phase JP Nagar,2 BHK,1130.0,2,73.0,2,6460.176991
129,7th Phase JP Nagar,3 BHK,1450.0,3,100.0,3,6896.551724
131,7th Phase JP Nagar,2 BHK,1050.0,2,50.0,2,4761.904762
132,7th Phase JP Nagar,2 BHK,1275.0,2,87.0,2,6823.529412
134,7th Phase JP Nagar,3 BHK,1650.0,3,110.0,3,6666.666667
135,7th Phase JP Nagar,2 BHK,850.0,2,42.0,2,4941.176471
136,7th Phase JP Nagar,3 BHK,1680.0,3,117.0,3,6964.285714
137,7th Phase JP Nagar,3 BHK,1850.0,3,150.0,3,8108.108108
138,7th Phase JP Nagar,2 BHK,1236.0,2,61.33,2,4961.97411
139,7th Phase JP Nagar,2 BHK,1000.0,2,53.0,2,5300.0
140,7th Phase JP Nagar,3 BHK,1680.0,3,125.0,3,7440.47619
141,7th Phase JP Nagar,3 BHK,1675.0,2,135.0,3,8059.701493
142,7th Phase JP Nagar,2 BHK,1187.0,2,59.0,2,4970.513901
143,7th Phase JP Nagar,3 BHK,1850.0,3,155.0,3,8378.378378
